Date,Region,Category,Product,Quantity,UnitPrice,Revenue,Profit
2024-01-01,North,Electronics,Headphones,4,477.82,1911.28,218.88
2024-01-01,South,Clothing,Jeans,8,20.0,160.0,53.54
2024-01-01,North,Toys,Puzzle,2,31.6,63.2,10.92
2024-01-01,West,Electronics,Laptop,11,229.94,2529.34,643.96
2024-01-01,North,Clothing,Jeans,12,51.47,617.64,71.81
2024-01-01,North,Toys,Action Figure,4,21.54,86.16,13.81
2024-01-01,West,Clothing,Shoes,12,44.66,535.92,142.36
2024-01-01,East,Electronics,Smartphone,2,241.32,482.64,102.53
2024-01-01,West,Groceries,Snacks,10,37.27,372.7,41.48
2024-01-02,South,Clothing,Jacket,13,68.01,884.13,119.56
2024-01-02,North,Electronics,Smartwatch,13,83.55,1086.15,330.04
2024-01-02,North,Groceries,Snacks,1,26.21,26.21,8.62
2024-01-02,East,Electronics,Smartwatch,9,330.48,2974.32,839.95
2024-01-02,North,Furniture,Chair,8,585.29,4682.32,1313.07
2024-01-02,East,Toys,Board Game,7,11.27,78.89,10.02
2024-01-02,South,Electronics,Laptop,7,263.92,1847.44,434.08
2024-01-03,South,Groceries,Rice,4,29.32,117.28,20.4
2024-01-03,South,Electronics,Smartwatch,5,442.16,2210.8,667.35
2024-01-03,East,Furniture,Sofa,12,416.8,5001.6,941.01
2024-01-03,South,Groceries,Snacks,3,19.61,58.83,10.85
2024-01-03,South,Groceries,Rice,11,29.61,325.71,110.94
2024-01-03,South,Toys,Action Figure,14,23.34,326.76,112.46
2024-01-03,South,Furniture,Bed,12,204.57,2454.84,545.87
2024-01-04,East,Toys,Action Figure,7,28.39,198.73,51.29
2024-01-04,East,Electronics,Smartphone,6,229.47,1376.82,377.18
2024-01-04,North,Groceries,Beverages,3,5.58,16.74,4.37
2024-01-04,East,Electronics,Smartphone,4,473.24,1892.96,537.23
2024-01-04,East,Clothing,Shoes,2,71.41,142.82,34.11
2024-01-04,West,Furniture,Table,12,370.31,4443.72,654.01
2024-01-04,East,Clothing,Jeans,9,60.82,547.38,142.6
2024-01-04,East,Toys,Doll,11,28.61,314.71,105.44
2024-01-05,West,Groceries,Oil,13,22.0,286.0,41.18
2024-01-05,South,Toys,Doll,4,52.46,209.84,55.48
2024-01-05,North,Electronics,Laptop,1,294.14,294.14,101.4
2024-01-06,South,Clothing,Shoes,6,40.41,242.46,76.63
2024-01-06,North,Furniture,Bed,12,415.65,4987.8,1671.48
2024-01-06,West,Toys,Board Game,13,26.54,345.02,82.18
2024-01-06,North,Electronics,Headphones,3,491.15,1473.45,326.1
2024-01-06,East,Electronics,Headphones,2,300.56,601.12,152.54
2024-01-07,West,Clothing,Shoes,7,46.28,323.96,89.29
2024-01-07,North,Groceries,Oil,7,33.35,233.45,53.19
2024-01-07,North,Groceries,Oil,9,7.48,67.32,21.65
2024-01-07,South,Groceries,Oil,12,28.52,342.24,118.23
2024-01-07,North,Toys,Board Game,6,28.01,168.06,22.14
2024-01-07,West,Electronics,Laptop,1,422.54,422.54,62.79
2024-01-07,East,Groceries,Oil,14,30.41,425.74,76.95
2024-01-07,North,Clothing,T-Shirt,1,40.35,40.35,4.85
2024-01-08,North,Furniture,Chair,9,310.02,2790.18,344.5
2024-01-08,South,Clothing,Shoes,9,29.6,266.4,67.38
2024-01-08,South,Groceries,Beverages,7,10.55,73.85,9.08
2024-01-08,South,Toys,Action Figure,1,48.17,48.17,14.53
2024-01-08,East,Furniture,Sofa,4,400.24,1600.96,178.23
2024-01-08,West,Toys,Doll,10,18.15,181.5,21.35
2024-01-08,North,Clothing,Jeans,7,70.7,494.9,120.43
2024-01-08,North,Groceries,Rice,1,37.95,37.95,12.38
2024-01-08,South,Toys,Action Figure,12,40.91,490.92,90.4
2024-01-09,North,Electronics,Laptop,8,223.43,1787.44,488.37
2024-01-09,South,Electronics,Laptop,2,333.02,666.04,96.15
2024-01-09,East,Electronics,Smartphone,9,305.83,2752.47,674.73
2024-01-09,East,Furniture,Table,7,470.45,3293.15,414.22
2024-01-10,South,Toys,Doll,1,29.46,29.46,3.03
2024-01-10,South,Furniture,Bed,9,431.92,3887.28,867.86
2024-01-10,South,Electronics,Laptop,5,91.27,456.35,134.77
